time;ExpDiode_V;ExpDiode_I
0.0359;0.27899;4.86E-08
0.036;0.30902;1.55E-07
0.0361;0.33873;4.90E-07
0.0362;0.36811;1.53E-06
0.0363;0.3971;4.69E-06
0.0364;0.42564;1.41E-05
0.0365;0.45357;4.17E-05
0.0366;0.48057;0.00011836
0.0367;0.50589;0.00031518
0.0368;0.52832;0.00075057
0.0369;0.54676;0.0015319
0.037;0.56111;0.0026679
0.0371;0.5721;0.0040811
0.0372;0.58064;0.0056788
0.0373;0.58744;0.0073875
0.0374;0.59299;0.0091561
0.0375;0.59761;0.01095
0.0376;0.60153;0.012744
0.0377;0.60491;0.01452
0.0378;0.60784;0.016267
0.0379;0.61042;0.017973
0.038;0.6127;0.019631
0.0381;0.61473;0.021235
0.0382;0.61655;0.022778
0.0383;0.61817;0.024257
0.0384;0.61963;0.025667
0.0385;0.62095;0.027006
0.0386;0.62213;0.02827
0.0387;0.62319;0.029456
0.0388;0.62415;0.030563
0.0389;0.625;0.031588
0.039;0.62576;0.03253
0.0391;0.62643;0.033386
0.0392;0.62702;0.034156
0.0393;0.62753;0.034838
0.0394;0.62797;0.035432
0.0395;0.62833;0.035936
0.0396;0.62863;0.036349
0.0397;0.62886;0.036671
0.0398;0.62902;0.036901
0.0399;0.62912;0.037039
0.04;0.62915;0.037085
0.0401;0.62912;0.037039
0.0402;0.62902;0.036901
0.0403;0.62886;0.036671
0.0404;0.62863;0.036349
0.0405;0.62833;0.035936
0.0406;0.62797;0.035432
0.0407;0.62753;0.034838
0.0408;0.62702;0.034156
0.0409;0.62643;0.033386
0.041;0.62576;0.03253
0.0411;0.625;0.031588
0.0412;0.62415;0.030563
0.0413;0.62319;0.029456
0.0414;0.62213;0.02827
0.0415;0.62095;0.027006
0.0416;0.61963;0.025667
0.0417;0.61817;0.024257
0.0418;0.61655;0.022778
0.0419;0.61473;0.021235
0.042;0.6127;0.019631
0.0421;0.61042;0.017973
0.0422;0.60784;0.016267
0.0423;0.60491;0.01452
0.0424;0.60153;0.012744
0.0425;0.59761;0.01095
0.0426;0.59299;0.0091561
0.0427;0.58744;0.0073875
0.0428;0.58064;0.0056788
0.0429;0.5721;0.0040811
0.043;0.56111;0.0026679
0.0431;0.54676;0.0015319
0.0432;0.52832;0.00075057
0.0433;0.50589;0.00031518
0.0434;0.48057;0.00011836
0.0435;0.45357;4.17E-05
0.0436;0.42564;1.41E-05
0.0437;0.3971;4.69E-06
0.0438;0.36811;1.53E-06
0.0439;0.33873;4.90E-07
0.044;0.30902;1.55E-07
0.0441;0.27899;4.86E-08
0.0442;0.24869;1.50E-08
0.0443;0.21814;4.62E-09
0.0444;0.18738;1.40E-09
0.0445;0.15643;4.23E-10
0.0446;0.12533;1.26E-10
0.0447;0.094108;3.71E-11
0.0448;0.062791;1.03E-11
0.0449;0.031411;2.37E-12
0.045;-7.42E-14;-8.54E-16
0.0451;-0.031411;-7.04E-13
0.0452;-0.062791;-9.12E-13
0.0453;-0.094108;-9.74E-13
0.0454;-0.12533;-9.92E-13
0.0455;-0.15643;-9.98E-13
0.0456;-0.18738;-9.99E-13
0.0457;-0.21814;-1.00E-12
0.0458;-0.24869;-1.00E-12
0.0459;-0.27899;-1.00E-12
0.046;-0.30902;-1.00E-12
0.0461;-0.33874;-1.00E-12
0.0462;-0.36812;-1.00E-12
0.0463;-0.39715;-1.00E-12
0.0464;-0.42578;-1.00E-12
0.0465;-0.45399;-1.00E-12
0.0466;-0.48175;-1.00E-12
0.0467;-0.50904;-1.00E-12
0.0468;-0.53583;-1.00E-12
0.0469;-0.56208;-1.00E-12
0.047;-0.58779;-1.00E-12
0.0471;-0.61291;-1.00E-12
0.0472;-0.63742;-1.00E-12
0.0473;-0.66131;-1.00E-12
0.0474;-0.68455;-1.00E-12
0.0475;-0.70711;-1.00E-12
0.0476;-0.72897;-1.00E-12
0.0477;-0.75011;-1.00E-12
0.0478;-0.77051;-1.00E-12
0.0479;-0.79016;-1.00E-12
0.048;-0.80902;-1.00E-12
0.0481;-0.82708;-1.00E-12
0.0482;-0.84433;-1.00E-12
0.0483;-0.86074;-1.00E-12
0.0484;-0.87631;-1.00E-12
0.0485;-0.89101;-1.00E-12
0.0486;-0.90483;-1.00E-12
0.0487;-0.91775;-1.00E-12
0.0488;-0.92978;-1.00E-12
0.0489;-0.94088;-1.00E-12
0.049;-0.95106;-1.00E-12
0.0491;-0.96029;-1.00E-12
0.0492;-0.96858;-1.00E-12
0.0493;-0.97592;-1.00E-12
0.0494;-0.98229;-1.00E-12
0.0495;-0.98769;-1.00E-12
0.0496;-0.99211;-1.00E-12
0.0497;-0.99556;-1.00E-12
0.0498;-0.99803;-1.00E-12
0.0499;-0.99951;-1.00E-12
0.05;-1;-1.00E-12
0.0501;-0.99951;-1.00E-12
0.0502;-0.99803;-1.00E-12
0.0503;-0.99556;-1.00E-12
0.0504;-0.99211;-1.00E-12
0.0505;-0.98769;-1.00E-12
0.0506;-0.98229;-1.00E-12
0.0507;-0.97592;-1.00E-12
0.0508;-0.96858;-1.00E-12
0.0509;-0.96029;-1.00E-12
0.051;-0.95106;-1.00E-12
0.0511;-0.94088;-1.00E-12
0.0512;-0.92978;-1.00E-12
0.0513;-0.91775;-1.00E-12
0.0514;-0.90483;-1.00E-12
0.0515;-0.89101;-1.00E-12
0.0516;-0.87631;-1.00E-12
0.0517;-0.86074;-1.00E-12
