time,v1,v2,v3,v4,i12,i34
0.0395,9.87688340595138,9.91709596850667,6.19243676668918,-0.0229928545114531,-0.0402125625552905,-0.0114964272557266
0.0396,9.92114701314478,9.94272778515883,6.21467077048236,0.0018636190338448,-0.0215807720140556,0.000931809516922512
0.0397,9.9556196460308,9.95856081061588,6.2307748537022,0.0266973882676114,-0.0029411645850802,0.0133486941338056
0.0398,9.98026728428271,9.96457936834353,6.24073311555105,0.0514840413468889,0.0156879159391852,0.0257420206734444
0.0399,9.99506560365732,9.96077746771799,6.24453572045191,0.0761992125111783,0.0342881359393316,0.0380996062555893
0.04,10,9.94715880993702,6.24217890774283,0.100818606130285,0.0528411900629822,0.0504093030651425
0.0401,9.99506560365731,9.92373678436643,6.23366499540013,0.125318020682944,0.0713288192908834,0.0626590103414723
0.0402,9.98026728428272,9.89053445532545,6.21900237773868,0.149673372642571,0.0897328289572661,0.0748366863212856
0.0403,9.9556196460308,9.84758453932411,6.19820551713958,0.173860720246549,0.108035106706694,0.0869303601232747
0.0404,9.92114701314478,9.7949293727751,6.17129492976546,0.197856287125616,0.12621764036968,0.0989281435628076
0.0405,9.87688340595138,9.73262087021196,6.13829716532535,0.221636485770006,0.14426253573942,0.110818242885003
0.0406,9.82287250728688,9.66072047305476,6.09924478086116,0.24517794080922,0.162152034232121,0.12258897040461
0.0407,9.75916761938747,9.57929908897401,6.05417630862973,0.268457512082419,0.179868530413466,0.134228756041209
0.0408,9.68583161128631,9.48843702191236,6.00313621806403,0.291452317476688,0.197394589373947,0.145726158738344
0.0409,9.60293685676943,9.38822389283353,5.94617487189897,0.31413975551064,0.214712963935904,0.15706987775532
0.041,9.51056516295153,9.27875855127624,5.88334847645755,0.336497527641049,0.231806611675287,0.168248763820525
0.0411,9.40880768954225,9.1601489778009,5.81471902619357,0.358503660270528,0.248658711741353,0.179251830135264
0.0412,9.29776485888251,9.03251217742482,5.74035424249876,0.380136526434502,0.265252681457686,0.190068263217251
0.0413,9.17754625683981,8.89597406415163,5.66032750688166,0.401374867146102,0.281572192688176,0.200687433573051
0.0414,9.04827052466019,8.75066933670841,5.57471778853687,0.422197812377892,0.29760118795178,0.211098906188946
0.0415,8.91006524188368,8.59674134561349,5.48360956642373,0.442584901659737,0.313323896270183,0.221292450829869
0.0416,8.76306680043863,8.43434195170591,5.38709274588396,0.462516104272488,0.328724848732713,0.231258052136244
0.0417,8.60742027003944,8.2636313762763,5.28526256992743,0.481971839017531,0.34378889376314,0.240985919508766
0.0418,8.44327925502014,8.08477804294683,5.17821952522709,0.50093299354272,0.358501212073311,0.25046649677136
0.0419,8.27080574274562,7.89795841145677,5.06606924296223,0.519380943205602,0.372847331288847,0.259690471602801
0.042,8.09016994374947,7.703356803517,4.94892239456161,0.537297569455327,0.386813140232472,0.268648784727664
0.0421,7.9015501237569,7.50116522090601,4.82689458249538,0.554665277715101,0.400384902850887,0.27733263885755
0.0422,7.70513242775789,7.29158315598645,4.70010622617807,0.571467014747522,0.413549271771434,0.285733507373761
0.0423,7.50111069630459,7.07481739482941,4.56868244314017,0.587686285485692,0.426293301475178,0.293843142742846
0.0424,7.28968627421411,6.85108181314071,4.43275292554096,0.603307169313456,0.438604461073401,0.301653584656728
0.0425,7.07106781186547,6.62059716519057,4.29245181218912,0.618314335778732,0.450470646674904,0.309157167889366
0.0426,6.84547105928689,6.38359086595497,4.14791755615264,0.632693059724409,0.461880193331913,0.316346529862205
0.0427,6.61311865323652,6.14029676668372,3.99929278813312,0.646429235821888,0.472821886552796,0.323214617910944
0.0428,6.37423989748689,5.89095492411666,3.84672417569582,0.659509392492917,0.483284973370224,0.329754696246458
0.0429,6.12907053652977,5.6358113635759,3.69036227853676,0.671920705205983,0.493259172953874,0.335960352602992
0.043,5.87785252292472,5.37511783616755,3.5303613998879,0.683651009134153,0.502734686757171,0.341825504567076
0.0431,5.62083377852131,5.10913157033323,3.36687943424907,0.694688811161835,0.511702208188081,0.347344405580917
0.0432,5.35826794978996,4.83811501799556,3.20007771155403,0.70502330122866,0.520152931794395,0.35251165061433
0.0433,5.09041415750369,4.56233559554924,3.03012083796846,0.714644362999249,0.528078561954451,0.357322181499625
0.0434,4.81753674101715,4.28206541995245,2.85717653343197,0.723542583848355,0.535471321064704,0.361771291924177
0.0435,4.53990499739545,3.99758104017937,2.68141546615038,0.73170926415152,0.542323957216077,0.36585463207576
0.0436,4.25779291565073,3.70916316429921,2.50301108415464,0.739136425872083,0.548629751351511,0.369568212936041
0.0437,3.97147890634779,3.41709638245015,2.32213944414077,0.745816820436057,0.554382523897646,0.372908410218029
0.0438,3.68124552684678,3.12166888598268,2.13897903771055,0.751743935887113,0.5595766408641,0.375871967943557
0.0439,3.3873792024529,2.82317218304858,1.95371061523442,0.7569120033146,0.564207019404316,0.3784560016573
0.044,3.09016994374946,2.52190081091697,1.76651700745977,0.761316002548263,0.568269132832494,0.380658001274131
0.0441,2.78991106039228,2.21815204530062,1.57758294509179,0.764951667114041,0.571759015091659,0.382475833557021
0.0442,2.48689887164854,1.91222560698009,1.38709487647366,0.767815488446052,0.574673264668447,0.383907744223026
0.0443,2.18143241396544,1.60442336601468,1.19524078359723,0.7699047193506,0.577009047950757,0.3849523596753
0.0444,1.87381314585724,1.2950490438323,1.00220999657449,0.771217376718805,0.578764102024945,0.385608688359402
0.0445,1.56434465040229,0.984407913492479,0.808193006804475,0.771752243485155,0.57993673690981,0.385876121742577
0.0446,1.25333233564304,0.672806498417888,0.613381278968324,0.77150886983007,0.580525837225153,0.385754434915035
0.0447,0.941083133185126,0.360552269891842,0.417967062089107,0.770487573625274,0.580530863293284,0.385243786812637
0.0448,0.627905195293136,0.0479533436207757,0.222143199792998,0.768689440121545,0.579951851672361,0.384344720060772
0.0449,0.31410759078127,-0.264681824339792,0.0261029400078174,0.766116320879145,0.578789415121061,0.383058160439572
0.045,-1.17128529097954e-14,-0.577044741994621,-0.16996025576154,0.762770831941995,0.577044741994609,0.381385415970998
0.0451,-0.314107590781293,-0.888827185854044,-0.365852903344058,0.758656351257385,0.574719595072752,0.379328175628693
0.0452,-0.627905195293142,-1.19972150511399,-0.561381686860671,0.753777015343774,0.571816309820843,0.376888507671887
0.0453,-0.941083133185149,-1.50942092527091,-0.756353649491483,0.748137715209961,0.568337792085761,0.374068857604981
0.0454,-1.25333233564305,-1.81761985087196,-0.950576383912904,0.741744091529673,0.564287515228915,0.370872045764837
0.0455,-1.56434465040231,-2.1240141671015,-1.14385822216902,0.734602529076298,0.559669516699186,0.367301264538149
0.0456,-1.87381314585725,-2.42830153990643,-1.33600842483604,0.726720150423288,0.554488394049179,0.363360075211644
0.0457,-2.18143241396544,-2.73018171436415,-1.52683736924811,0.718104808916441,0.548749300398713,0.35905240445822
0.0458,-2.48689887164855,-3.02935681099858,-1.71615673664321,0.708765080924975,0.542457939350035,0.354382540462487
0.0459,-2.78991106039231,-3.32553161975207,-1.90377969799992,0.69871025737908,0.535620559359766,0.34935512868954
0.046,-3.09016994374945,-3.6184138913226,-2.08952109842643,0.687950334602265,0.528243947573145,0.343975167301133
0.0461,-3.38737920245291,-3.90771462557955,-2.27319763987497,0.676496004447563,0.520335423126643,0.338248002223781
0.0462,-3.68124552684679,-4.19314835677235,-2.45462806204626,0.664358643747331,0.511902829925566,0.332179321873665
0.0463,-3.97147890634783,-4.4744334352516,-2.63363332126013,0.651550303087049,0.502954528903773,0.325775151543525
0.0464,-4.25779291565073,-4.75129230542387,-2.81003676716173,0.638083694914203,0.493499389773139,0.319041847457101
0.0465,-4.53990499739545,-5.02345177966638,-2.98366431704263,0.623972180993978,0.483546782270924,0.311986090496989
0.0466,-4.81753674101715,-5.29064330793082,-3.1543446276511,0.609229759224154,0.473106566913665,0.304614879612077
0.0467,-5.09041415750373,-5.55260324277046,-3.32190926427562,0.593871049822208,0.462189085266729,0.296935524911104
0.0468,-5.35826794978996,-5.80907309952909,-3.48619286698146,0.577911280898252,0.450805149739123,0.288955640449126
0.0469,-5.62083377852132,-6.05979981143496,-3.64703331378949,0.561366273428058,0.43896603291364,0.280683136714029
0.047,-5.87785252292473,-6.30453597934759,-3.80427188068234,0.544252425640977,0.426683456422863,0.272126212820488
0.0471,-6.12907053652977,-6.54304011591178,-3.95775339823498,0.526586696838184,0.413969579382008,0.263293348419092
0.0472,-6.37423989748689,-6.77507688387691,-4.10732640475911,0.508386590657205,0.400836986390021,0.254193295328602
0.0473,-6.61311865323652,-7.0004173283473,-4.25284329576692,0.48967013779924,0.387298675110776,0.24483506889962
0.0474,-6.8454710592869,-7.21883910273352,-4.39416046964968,0.470455878236336,0.373368043446616,0.235227939118168
0.0475,-7.07106781186548,-7.43012668818239,-4.5311384693847,0.450762842915962,0.359058876316912,0.225381421457981
0.0476,-7.28968627421413,-7.63407160626881,-4.66364212017304,0.430610534981053,0.344385332054678,0.215305267490526
0.0477,-7.5011106963046,-7.83047262473926,-4.79154066283073,0.410018910524035,0.329361928434667,0.205009455262018
0.0478,-7.7051324277579,-8.01913595610464,-4.91470788284223,0.389008358893854,0.31400352834674,0.194504179446927
0.0479,-7.9015501237569,-8.19987544888554,-5.03302223490931,0.367599682575412,0.298325325128643,0.183799841287706
0.048,-8.09016994374948,-8.37251277132216,-5.14636696291133,0.345814076661298,0.282342827572676,0.172907038330649
0.0481,-8.27080574274563,-8.53687758736666,-5.25463021511985,0.32367310793604,0.266071844621032,0.16183655396802
0.0482,-8.44327925502015,-8.69280772478509,-5.35770515459259,0.301198693593556,0.249528469764933,0.150599346796778
0.0483,-8.60742027003943,-8.84014933520237,-5.45549006459898,0.278413079608768,0.232729065162944,0.139206539804384
0.0484,-8.76306680043864,-8.97875704593277,-5.5478884490121,0.255338818784759,0.215690245494134,0.12766940939238
0.0485,-8.91006524188369,-9.10849410344573,-5.634809127529,0.231998748497113,0.19842886156204,0.115999374248557
