time,v1,v2,i12,i34
0.0305,-9.2262824230403,0.846523475426977,-9.87688340595138,-0.650600982911074
0.0306,-9.27199894142507,0.860880684480848,-9.82287250728688,-0.550873565861811
0.0307,-9.30856512375537,0.87438830522525,-9.75916761938747,-0.450602495632104
0.0308,-9.3359448831073,0.887033007063881,-9.68583161128631,-0.349886728179017
0.0309,-9.35411119846338,0.898802311032049,-9.60293685676943,-0.248825658306052
0.031,-9.36304614137991,0.909684602109402,-9.51056516295154,-0.147519021571627
0.0311,-9.36274089368083,0.919669140680135,-9.40880768954225,-0.0460667958614164
0.0312,-9.35319575616078,0.928746073129346,-9.29776485888251,0.0554308972782681
0.0313,-9.33442014828861,0.936906441565158,-9.17754625683981,0.156873891448805
0.0314,-9.30643259891184,0.944142192656902,-9.04827052466019,0.258162074251652
0.0315,-9.26926072797105,0.950446185580741,-8.91006524188368,0.359195486087373
0.0316,-9.22294121924239,0.955812199064845,-8.76306680043864,0.459874418803757
0.0317,-9.16751978413511,0.960234937527158,-8.60742027003944,0.560099514095669
0.0318,-9.10305111657976,0.963710036299747,-8.44327925502015,0.659771861559604
0.0319,-9.0295988390517,0.966234065934519,-8.27080574274561,0.758793096306089
0.032,-8.94723543978315,0.967804535586076,-8.09016994374948,0.857065496033676
0.0321,-8.85604220122566,0.968419895468443,-7.9015501237569,0.954492077468769
0.0322,-8.75610911983384,0.968079538383037,-7.7051324277579,1.05097669207594
0.0323,-8.64753481724916,0.966783800316686,-7.50111069630459,1.14642412094457
0.0324,-8.530426442972,0.964533960108723,-7.28968627421412,1.24074016875788
0.0325,-8.40489956861735,0.961332238187888,-7.07106781186547,1.33383175675188
0.0326,-8.27107807385914,0.957181794379891,-6.84547105928687,1.42560701457227
0.0327,-8.12909402417538,0.952086724788091,-6.61311865323652,1.51597537093887
0.0328,-7.97908754051485,0.946052057750278,-6.37423989748688,1.60484764302797
0.0329,-7.82120666101413,0.939083748875385,-6.12907053652977,1.69213612448436
0.033,-7.65560719490111,0.931188675165371,-5.87785252292472,1.77775467197639
0.0331,-7.4824525687296,0.92237462822764,-5.6208337785213,1.86161879020831
0.0332,-7.30191366509638,0.912650306585123,-5.35826794978996,1.94364571530643
0.0333,-7.1141686540001,0.902025307091268,-5.09041415750371,2.02375449649639
0.0334,-6.91940281700837,0.89051011545861,-4.81753674101715,2.10186607599123
0.0335,-6.71780836440669,0.878116095910171,-4.53990499739546,2.17790336701123
0.0336,-6.50958424550942,0.864855479963948,-4.25779291565071,2.25179132985871
0.0337,-6.29493595232032,0.850741354361483,-3.97147890634781,2.32345704597252
0.0338,-6.07407531673611,0.835787648152606,-3.68124552684676,2.39282978988934
0.0339,-5.84722030149347,0.820009118948748,-3.38737920245292,2.45984109904055
0.034,-5.61459478506552,0.80342133835887,-3.09016994374946,2.52442484131606
0.0341,-5.37642834072035,0.786040676621831,-2.7899110603923,2.58651728032805
0.0342,-5.13295600995932,0.767884286450921,-2.48689887164854,2.64605713831078
0.0343,-4.88441807055907,0.748970086105949,-2.18143241396542,2.70298565659365
0.0344,-4.63105979944583,0.729316741710081,-1.87381314585724,2.75724665358859
0.0345,-4.37313123063626,0.70894364882852,-1.5643446504023,2.80878658023395
0.0346,-4.11088690848366,0.68787091332739,-1.25333233564304,2.85755457284062
0.0347,-3.84458563647298,0.666119331531651,-0.941083133185143,2.90350250328783
0.0348,-3.57449022181261,0.643710369701648,-0.627905195293117,2.9465850265195
0.0349,-3.30086721607512,0.620666142848478,-0.314107590781286,2.98675962529383
0.035,-3.0239866521425,0.597009392909274,1.28785870856518e-14,3.02398665214252
0.0351,-2.74412177771619,0.572763466303585,0.314107590781276,3.05822936849747
0.0352,-2.46154878565407,0.547952290893475,0.627905195293143,3.08945398094721
0.0353,-2.1765465414013,0.522600352369561,0.94108313318515,3.11762967458645
0.0354,-1.88939630778344,0.496732670086778,1.25333233564305,3.14272864342648
0.0355,-1.60038146743374,0.470374772373344,1.56434465040231,3.16472611783606
0.0356,-1.3097872431285,0.443552671337496,1.87381314585725,3.18360038898575
0.0357,-1.01790041630633,0.41629283719679,2.18143241396543,3.19933283027176
0.0358,-0.725009044049333,0.388622172155307,2.48689887164855,3.21190791569788
0.0359,-0.431402174805321,0.360567983854545,2.78991106039229,3.22131323519761
0.036,-0.13736956313172,0.332157958424204,3.09016994374949,3.22753950688121
0.0361,0.15679861625732,0.303420133159405,3.38737920245291,3.23058058619559
0.0362,0.450812054858583,0.274382868851478,3.68124552684679,3.23043347198821
0.0363,0.744380596879237,0.245074821799294,3.9714789063478,3.22709830946856
0.0364,1.03721452558583,0.215524915529212,4.25779291565073,3.2205783900649
0.0365,1.32902484921972,0.185762312251066,4.53990499739549,3.21088014817577
