time,v1,v2,v3,i12,i23
0.0066,-4.81753674101715,-2.40876837050858,-2.40876837050858,-2.40876837050858,-5.55111512312578e-17
0.0067,-5.09041415750371,-2.54520707875186,-2.54520707875186,-2.54520707875186,0
0.0068,-5.35826794978997,-2.67913397489498,-2.67913397489498,-2.67913397489498,0
0.0069,-5.62083377852131,-2.81041688926065,-2.81041688926065,-2.81041688926065,0
0.007,-5.87785252292473,-2.93892626146237,-2.93892626146236,-2.93892626146237,-5.55111512312578e-17
0.0071,-6.12907053652977,-3.06453526826488,-3.06453526826488,-3.06453526826488,0
0.0072,-6.3742398974869,-3.18711994874345,-3.18711994874345,-3.18711994874345,-5.55111512312578e-17
0.0073,-6.61311865323652,-3.30655932661826,-3.30655932661826,-3.30655932661826,-5.55111512312578e-17
0.0074,-6.84547105928689,-3.42273552964344,-3.42273552964344,-3.42273552964344,0
0.0075,-7.07106781186548,-3.53553390593274,-3.53553390593274,-3.53553390593274,0
0.0076,-7.28968627421412,-3.64484313710706,-3.64484313710706,-3.64484313710706,-5.55111512312578e-17
0.0077,-7.5011106963046,-3.7505553481523,-3.7505553481523,-3.7505553481523,-5.55111512312578e-17
0.0078,-7.70513242775789,-3.85256621387895,-3.85256621387895,-3.85256621387895,-1.11022302462516e-16
0.0079,-7.9015501237569,-3.95077506187845,-3.95077506187845,-3.95077506187845,5.55111512312578e-17
0.008,-8.09016994374947,-4.04508497187474,-4.04508497187474,-4.04508497187474,0
0.0081,-8.27080574274562,-4.13540287137281,-4.13540287137281,-4.13540287137281,0
0.0082,-8.44327925502015,-4.22163962751008,-4.22163962751008,-4.22163962751008,-5.55111512312578e-17
0.0083,-8.60742027003944,-4.30371013501972,-4.30371013501972,-4.30371013501972,-5.55111512312578e-17
0.0084,-8.76306680043864,-4.38153340021932,-4.38153340021932,-4.38153340021932,-5.55111512312578e-17
0.0085,-8.91006524188368,-4.45503262094184,-4.45503262094184,-4.45503262094184,0
0.0086,-9.0482705246602,-4.5241352623301,-4.5241352623301,-4.5241352623301,0
0.0087,-9.17754625683981,-4.58877312841991,-4.5887731284199,-4.58877312841991,-5.55111512312578e-17
0.0088,-9.29776485888251,-4.64888242944126,-4.64888242944126,-4.64888242944126,-5.55111512312578e-17
0.0089,-9.40880768954225,-4.70440384477113,-4.70440384477113,-4.70440384477113,0
0.009,-9.51056516295153,-4.75528258147577,-4.75528258147577,-4.75528258147577,0
0.0091,-9.60293685676943,-4.80146842838472,-4.80146842838471,-4.80146842838472,-1.11022302462516e-16
0.0092,-9.68583161128631,-4.84291580564315,-4.84291580564315,-4.84291580564315,-1.11022302462516e-16
0.0093,-9.75916761938747,-4.87958380969374,-4.87958380969374,-4.87958380969374,-5.55111512312578e-17
0.0094,-9.82287250728689,-4.91143625364344,-4.91143625364344,-4.91143625364344,-1.11022302462516e-16
0.0095,-9.87688340595138,-4.93844170297569,-4.93844170297569,-4.93844170297569,-1.11022302462516e-16
0.0096,-9.92114701314478,-4.96057350657239,-4.96057350657239,-4.96057350657239,-1.11022302462516e-16
0.0097,-9.9556196460308,-4.9778098230154,-4.9778098230154,-4.9778098230154,-5.55111512312578e-17
0.0098,-9.98026728428272,-4.99013364214136,-4.99013364214136,-4.99013364214136,-1.11022302462516e-16
