"time","voltageSource.v","resistor.v","inductor.v","capacitor.v","der(capacitor.v)","inductor.i","der(voltageSource.i)"
0.0136,-4.257792915650722,0.1411142820093257,0.002173523660395915,-4.401080721320444,2822.285640186514,0.01411142820093257,-2.173523660395915
0.0137,-3.971478906347803,0.143217138919482,0.002031208113933758,-4.116727253381218,2864.342778389639,0.0143217138919482,-2.031208113933758
0.0138,-3.681245526846778,0.1451775811746941,0.001886583418885923,-3.828309691440358,2903.551623493882,0.01451775811746941,-1.886583418885923
0.0139,-3.387379202452914,0.1469929697326963,0.001742218574476428,-3.536114390760086,2939.859394653927,0.01469929697326964,-1.742218574476428
0.014,-3.090169943749467,0.1486634090447788,0.001598553671031677,-3.240431906465278,2973.268180895576,0.01486634090447788,-1.598553671031677
0.0141,-2.789911060392296,0.1501883163464406,0.001454441133073914,-2.941553817871811,3003.766326928812,0.01501883163464406,-1.454441133073914
0.0142,-2.486898871648553,0.151567654898387,0.00130680838837538,-2.639773334935315,3031.35309796774,0.0151567654898387,-1.30680838837538
0.0143,-2.181432413965424,0.1527979931430474,0.001154440626797371,-2.335384847735269,3055.959862860947,0.01527979931430474,-1.154440626797371
0.0144,-1.873813145857246,0.1538764695242744,0.0009984908405087367,-2.028688106222029,3077.529390485487,0.01538764695242744,-0.9984908405087367
0.0145,-1.56434465040231,0.1547997247430516,0.0008430675542721033,-1.719987442699634,3095.994494861032,0.01547997247430516,-0.8430675542721033
0.0146,-1.253332335643046,0.1555688347591303,0.000691171327375617,-1.409592341729552,3111.376695182606,0.01555688347591303,-0.691171327375617
0.0147,-0.9410831331851486,0.156185493354267,0.0005420668179805244,-1.097810693357396,3123.70986708534,0.0156185493354267,-0.5420668179805244
0.0148,-0.627905195293132,0.1566511238604284,0.0003921232209879166,-0.7849484423745484,3133.022477208568,0.01566511238604284,-0.3921232209879166
0.0149,-0.314107590781283,0.1569642645664296,0.0002368879037850657,-0.4713087432514976,3139.285291328591,0.01569642645664296,-0.2368879037850657
0.015,-1.836909530733566e-15,0.1571219770786135,7.704712228950861e-05,-0.1571990242009048,3142.439541572269,0.01571219770786135,-0.07704712228950861
0.0151,0.3141075907812882,0.1571211137943549,-8.213206894724934e-05,0.1570686090558806,3142.422275887097,0.01571211137943549,0.08213206894724934
0.0152,0.6279051952931372,0.1569624790685442,-0.0002359959410889734,0.471178712165682,3139.249581370882,0.01569624790685441,0.2359959410889734
0.0153,0.9410831331851449,0.1566506502975667,-0.0003861274271387272,0.7848186103147169,3133.013005951334,0.01566506502975667,0.3861274271387272
0.0154,1.253332335643042,0.1561880262956403,-0.0005381441932574837,1.09768245354066,3123.760525912805,0.01561880262956403,0.5381441932574837
0.0155,1.564344650402307,0.155572184537531,-0.0006943737381526205,1.409466839602928,3111.443690750621,0.0155572184537531,0.6943737381526205
0.0156,1.873813145857251,0.154800221825035,-0.00085141470137029,1.719864338733587,3096.0044365007,0.0154800221825035,0.85141470137029
0.0157,2.181432413965429,0.1538727397825068,-0.001004077423200744,2.028563751606123,3077.454795650136,0.01538727397825068,1.004077423200744
0.0158,2.486898871648549,0.1527939420169779,-0.001151965903290808,2.335256895534862,3055.878840339557,0.01527939420169779,1.151965903290808
0.0159,2.789911060392292,0.1515675255226217,-0.001299680101846334,2.639643214971517,3031.350510452434,0.01515675255226217,1.299680101846334
0.016,3.090169943749472,0.1501930622212038,-0.001450760287753372,2.941427641816022,3003.861244424076,0.01501930622212038,1.450760287753372
0.0161,3.387379202452911,0.1486680176595739,-0.001601715973847284,3.240312900767184,2973.360353191479,0.01486680176595739,1.601715973847284
0.0162,3.681245526846791,0.1469934904099879,-0.001747686832018758,3.535999723268822,2939.869808199758,0.01469934904099879,1.747686832018758
0.0163,3.971478906347816,0.1451745524698437,-0.001888588993748996,3.828192942871721,2903.491049396874,0.01451745524698437,1.888588993748996
0.0164,4.257792915650734,0.1432150974785512,-0.002028441275808035,4.116606259447991,2864.301949571024,0.01432150974785512,2.028441275808035
0.0165,4.539904997395475,0.1411157225974037,-0.002170142284508181,4.400959417082579,2822.314451948073,0.01411157225974037,2.170142284508181
0.0166,4.817536741017157,0.1388754419880263,-0.002311685582612633,4.680972984611744,2777.508839760525,0.01388754419880263,2.311685582612633
0.0167,5.090414157503716,0.1364957064316261,-0.002448818156176813,4.956367269228267,2729.914128632521,0.01364957064316261,2.448818156176813
0.0168,5.358267949789967,0.1339810662181407,-0.002580636731068786,5.226867520302895,2679.621324362814,0.01339810662181407,2.580636731068786
0.0169,5.620833778521298,0.1313357822776914,-0.002709473797930961,5.492207470041538,2626.715645553827,0.01313357822776914,2.709473797930961
