"time","slack.i[1]","slack.i[2]","slack.i[3]","der(slack.i[1])","der(slack.i[2])","der(slack.i[3])","busBar1.v[1]","busBar1.v[2]","busBar1.v[3]","busBar2.v[1]","busBar2.v[2]","busBar2.v[3]","piLine1.v[1]","piLine1.v[2]","piLine1.v[3]"
0.0029,-13.40886473983497,3.493497848492455,9.915366891342224,1164.798201720628,-4230.547661709815,3065.749459990643,55048.01651075559,33935.62816295528,-88983.64467371082,55135.49166437044,33497.37389262518,-88632.86555699543,-87.47515361484693,438.2542703300933,-350.7791167153919
0.003,-13.28578761266238,3.068788835475829,10.21699877718716,1296.541850335756,-4262.9338842829,2966.392033957985,52791.71136981997,36530.89862503535,-89322.60999485526,52893.45248659878,36088.08558947416,-88981.5380760718,-101.7411167788086,442.8130355611866,-341.071918783462
0.0031,-13.14959902112606,2.641051308552642,10.5085477125739,1427.005982853478,-4291.113105094489,2864.107122228133,50483.3071833829,39090.11750060134,-89573.42468398418,50599.21385854411,38643.182702883,-89242.39656142834,-115.9066751612118,446.9347977183425,-331.0281225558429
0.0032,-13.00043336064364,2.210707379099672,10.78972598154336,1556.061861512054,-4315.057597930012,2758.995736403989,48125.08206767936,41610.75914960133,-89735.84121728064,48255.03991820443,41160.14365215327,-89415.18357035905,-129.9578505250684,450.6154974480596,-320.6576469215943
0.0033,-12.83843783875866,1.778181740416527,11.06025609834125,1683.582080588509,-4334.743645579149,2651.161564999954,45719.3633061866,44090.33600304849,-89809.69930923503,45863.24407792818,43636.48450939287,-89499.72858732006,-143.8807717415766,453.8514936556167,-309.9707219149714
0.0034,-12.6637723302433,1.343901253123699,11.31987107711955,1809.440776207843,-4350.151741846514,2540.71096565446,43268.52505287626,46526.40101795142,-89794.92607082763,43426.186749763,46069.76143299279,-89495.94818275416,-157.6616968867456,456.6395849586333,-298.9778880734666
0.0035,-12.47660921049743,0.9082945042910664,11.56831470620746,1933.513756848423,-4361.266699623359,2427.752942767295,40774.98598921105,48916.55009225009,-89691.5360814611,40946.27301664381,48457.57307052052,-89403.84608716505,-171.2870274327506,458.9770217295736,-287.689994296059
0.0036,-12.27713318341939,0.4717913796712649,11.80534180374805,2055.678653018887,-4368.077759528596,2312.39910649421,38241.20693719824,51258.42443737437,-89499.63137457255,38425.95026157786,50797.56291919952,-89223.51318077887,-184.7433243796258,460.8615181748537,-276.1181937936781
0.0037,-12.06554110508752,0.03482264705941418,12.03071845802715,2175.814843143135,-4370.578077438122,2194.763234296296,35669.68843085525,53549.71290608354,-89219.40133693875,35867.705732885,53087.42170380217,-88955.12743668699,-198.0173020297443,462.2912022813762,-264.2739002517628
0.0038,-11.84204179403678,-0.4021804534271585,12.2442222474637,2293.803726699602,-4368.765070793834,2074.961344106237,33062.96824848469,55788.15427328961,-88851.12252177425,33274.06410499369,55324.88962167093,-88598.95372666337,-211.0958565090041,463.2646516186796,-252.1687951108761
0.0039,-11.60685581974685,-0.8387866454872293,12.4456424652347,2409.52889268682,-4362.640580063374,1953.111687378881,30423.6189081934,57971.53946761343,-88395.15837580679,30647.58499203456,57507.75855697909,-88155.34354901337,-223.9660838411583,463.7809106343411,-239.8148267934157
0.004,-11.3602152810301,-1.2745650532743,12.63478033430467,2522.876172455708,-4352.210748553967,1829.334576089782,27754.24512912777,60097.71375147148,-87851.9588805992,27990.86041560532,59633.87427171092,-87624.73468731703,-236.6152864775468,463.8394797605579,-227.2241932821635
0.0041,-11.10236357983089,-1.709085622184485,12.81144920201493,2633.733693357585,-4337.485857362499,1703.752164000621,25057.48126093027,62164.57884754176,-87222.060108472,25306.51224085591,61701.13854753355,-87007.65078838984,-249.0309799256356,463.4403000082166,-214.4093200821517
0.0042,-10.83355518498714,-2.141919533238213,12.97547471822495,2741.992019585828,-4318.480358603256,1576.488339022666,22335.98868395465,64170.09500951005,-86506.08369346466,22597.18959206784,63707.51125214805,-86304.70084421533,-261.200908113191,462.5837573620011,-201.382849249334
0.0043,-10.55405537998603,-2.57263962693419,13.1266950069204,2847.544314104829,-4295.212995988188,1447.668681888378,19592.45318280454,66112.28303505342,-85704.73621785794,19865.56624368104,65651.01233916964,-85516.57858285015,-273.1130608765015,461.2706958837807,-188.1576350077812
0.0044,-10.26413999771533,-3.000820832914145,13.26496083062979,2950.286435326268,-4267.706790003062,1317.42035467432,16829.58229578854,67989.22621907387,-84818.80851486238,17114.33798072577,67529.72380182645,-84644.06178255244,-284.755684937234,459.5024172474223,-174.7467323099409
0.0045,-9.964095148104581,-3.426040591295078,13.39013573939947,3050.116997504372,-4235.988919678673,1185.87192217059,14050.10264290669,69799.07224525484,-83849.17488816151,14346.21993417021,69341.79157535158,-83688.01150952214,-296.1172912635157,457.2806699032517,-161.163378639365
0.0046,-9.654216938345337,-3.847879264530512,13.50209620287557,3146.937455132152,-4200.090627133556,1053.153172003114,11256.75723500576,71540.03501407384,-82796.79224907959,11563.94389984793,71085.42737358504,-82649.37127343279,-307.1866648421674,454.6076404888008,-147.4209756468044
0.0047,-9.334811182348782,-4.265920544885683,13.60073172723452,3240.652251819143,-4160.047311412177,919.3950595955989,8452.302766758632,73210.39640546708,-81662.69917222569,8770.255647667638,72758.91044132951,-81529.16608899688,-317.9528809090061,451.485964137566,-133.5330832288164
0.0048,-9.006193095565445,-4.679751874055155,13.68594496962071,3331.168921698636,-4115.89854445919,784.7296227595357,5639.506896139613,74808.50797440636,-80448.01487054597,5967.912212580511,74360.58924743658,-80328.5014600172,-328.4053164408979,447.9187269697723,-119.5134105287725
0.0049,-8.668686983247804,-5.088964853767428,13.75765183701514,3418.398139297737,-4067.687912318422,649.2897730191439,2821.145513080001,76332.79257771556,-79153.93809079553,3159.679169581174,75888.88312664347,-79048.56229622477,-338.5336565011735,443.9094510720897,-105.3757945707621
0.005,-8.322625922913236,-5.493155641329286,13.81578156424239,3502.253806911445,-4015.462953503323,513.2091465921862,5.499377954830871e-12,77781.74593052026,-77781.74593052026,348.3279043411675,77342.28384136042,-77690.61174570155,-348.327904341162,439.4620891598461,-91.13418481871486
0.0051,-7.968351435749208,-5.891925347056997,13.86027678280617,3582.653166877371,-3959.275198301037,376.6220314244791,-2821.14551308001,79153.93809079556,-76332.79257771555,-2463.367119083573,78719.35706149756,-76255.9899424139,-357.778393996437,434.5810292980022,-76.80263530164666
0.0052,-7.60621314809387,-6.284880432693379,13.89109358078725,3659.516882545297,-3899.180121712298,239.6632391664738,-5639.506896139601,80448.01487054597,-74808.50797440636,-5272.631096383797,80018.74377959566,-74746.1126832119,-366.8757997558041,429.2710909503076,-62.39529119445069
0.0053,-7.236568446317764,-6.671633100269506,13.90820154658722,3732.769100702335,-3835.237037270406,102.4679365670989,-8452.302766758639,81662.69917222569,-73210.39640546704,-8076.691622981037,81239.16165714599,-73162.47003416503,-375.6111437776026,423.5375150797045,-47.92637130200455
0.0054,-6.859782124944007,-7.05180167214223,13.91158379708615,3802.337525909278,-3767.509035352069,-34.82849055779121,-11256.75723500577,82796.7922490796,-71540.03501407382,-10872.78143010822,82379.40629041899,-71506.62486031081,-383.9758048975491,417.3859586606122,-33.41015376300493
0.0055,-6.47622602679542,-7.42501096716408,13.90123699395943,3868.153500465248,-3696.062948939835,-172.0905515245768,-14050.10264290672,83849.17488816152,-69799.07224525482,-13658.14111490816,83438.35239626287,-69780.21128135464,-391.9615279985555,410.8224918986525,-18.86096390018065
0.0056,-6.08627867559169,-7.790892672341749,13.87717134793344,3930.152074326611,-3620.969293958308,-309.182780367757,-16829.58229578857,84818.80851486239,-67989.22621907384,-16430.02186341481,84414.954921993,-67984.93305857816,-399.5604323737607,403.8535928693891,-4.293160495682969
0.0057,-5.690324902174412,-8.149085706940879,13.83941060911526,3988.272064375269,-3542.302184870447,-445.9698795057325,-19592.45318280455,85704.73621785795,-66112.28303505341,-19185.68816378366,85308.25007821397,-66122.56191443041,-406.7650190208915,396.486139643981,10.27887937700143
0.0058,-5.288755464978259,-8.499236578091685,13.78799204306983,4042.456111857058,-3460.139252658773,-582.3168591983207,-22335.98868395464,86506.08369346468,-64170.09500951005,-21922.42050620598,86117.35629085104,-64194.93578464507,-413.5681777486643,388.7274026136438,24.84077513502416
0.0059,-4.881966664616093,-8.840999728991282,13.72296639360732,4092.650741995355,-3374.561577168278,-718.0891648264216,-25057.48126093028,87222.060108472,-62164.57884754172,-24637.51806643586,86841.47507026185,-62203.95700382593,-419.9631944944194,380.5850382101489,39.37815628420503
0.006,-4.470359952629604,-9.174037880345196,13.64439783297482,4138.806419486069,-3285.653615260873,-853.1528042252687,-27754.24512912778,87851.95888059921,-60097.71375147146,-27328.30137090549,87479.89179843229,-60151.59042752683,-425.9437582222818,372.0670821669191,53.8766760553699
0.0061,-4.054341535119817,-9.49802236378463,13.5523638989044,4180.877595516819,-3193.503112238325,-987.3744832790765,-30423.61890819341,88395.15837580679,-57971.53946761342,-29992.11494122863,88031.97643474086,-58039.86149351234,-431.5039669647813,363.1819410659227,68.32202589891676
0.0062,-3.634321971959007,-9.812633445982312,13.44695541794123,4218.822750520285,-3098.20100848347,-1120.621742036523,-33062.9682484847,88851.12252177426,-55788.15427328958,-32626.3299150571,88497.18413840936,-55870.85422335225,-436.6383334275961,353.9383833649044,82.69995006266254
0.0063,-3.210715771757927,-10.1175606437548,13.32827641551269,4252.604436306302,-2999.841352901695,-1252.763083404389,-35669.68843085526,89219.40133693877,-53549.71290608351,-35228.34664033469,88875.05580587595,-53646.70916554124,-441.3417905205715,344.3455310628196,96.99625945773005
0.0064,-2.783940982748818,-10.41250303059976,13.19644401334857,4282.18931463598,-2898.521215101791,-1383.668099534116,-38241.20693719824,89499.63137457255,-51258.42443737434,-37795.59724067819,89165.21852337544,-51369.62128269728,-445.6096965200559,334.4128511971066,111.196845322942
0.0065,-2.354418780122401,-10.69716953399147,13.05158831411382,4307.548189413111,-2794.340587696267,-1513.207601717208,-40774.9859892111,89691.5360814611,-48916.55009225003,-40325.54814963231,89367.3859351506,-49041.83778551834,-449.4378395787862,324.1501463105087,125.2876932683139
