"time","slack.i[1]","slack.i[2]","slack.i[3]","der(slack.i[1])","der(slack.i[2])","der(slack.i[3])","busBar1.v[1]","busBar1.v[2]","busBar1.v[3]","busBar2.v[1]","busBar2.v[2]","busBar2.v[3]","piLine1.v[1]","piLine1.v[2]","piLine1.v[3]"
0.0088,7.301404006880514,-13.90621102752137,6.604807020640816,3720.287150811107,126.3487157645621,-3846.635866575377,-83507.52539302289,70387.13312421742,13120.39226880539,-83094.46970290774,70363.41965278567,12731.05005012201,-413.0556901151576,23.7134714317508,389.3422186833777
0.0089,7.669768726618508,-13.88671635846884,6.216947631850312,3646.401297733009,263.5125964665002,-3909.913894199583,-84504.85240029525,68600.05304969965,15904.79935059551,-84098.63120929146,68590.90277370182,15507.72843558954,-406.2211910037877,9.150275997832068,397.0709150059629
0.009,8.030564310605557,-13.85351717692856,5.822952866322977,3568.916886848996,400.4164220165102,-3969.333308865799,-85418.78332064299,66745.2730050066,18673.51031563632,-85019.79752001846,66750.69495465702,18269.10256536134,-398.985800624534,-5.421949650422903,404.407750274986
0.0091,8.383434697160251,-13.80664624648616,5.423211549325861,3487.910385880471,536.92508489518,-4024.835470775688,-86248.41621458794,64824.62343411207,21423.79278047579,-85857.05955515751,64844.61225860048,21012.44729655695,-391.3566594304284,-19.98882448840595,411.345483918838
0.0092,8.728031645813978,-13.74614982309198,5.018118177277968,3403.461738442876,672.9038675566044,-4076.365605999444,-86992.93233462657,62839.99978625973,24152.93254836677,-86609.59103816592,62874.53575903141,23735.05527913444,-383.3412964606541,-34.53597277167864,417.8772692323291
0.0093,9.064015080982156,-13.67208760941196,4.608072528429766,3315.654285126998,808.2185753826686,-4123.872860509776,-87651.59693323495,60793.36064538343,26858.23628785144,-87276.64931132706,60842.40968360696,26434.23962772001,-374.9476219078933,-49.04903822352935,423.9966601314336
0.0094,9.391053427578292,-13.58453269590949,4.193479268331159,3224.574681254644,942.735669108424,-4167.310350363032,-88223.75998797575,58686.72579722154,29537.03419075412,-87857.57606866355,58750.23949542358,29107.33657323989,-366.1839193121996,-63.51369820203399,429.6976175142299
0.0095,9.708823938237328,-13.48357148871221,3.774747550474855,3130.312811502425,1076.322396522641,-4206.635208024922,-88708.85684299204,56522.17423603205,32186.68260695992,-88351.79800559169,56600.08991385817,31751.70809173346,-357.0588374003564,-77.91567782611673,434.9745152264586
0.0096,10.0170130118291,-13.3693036243411,3.352290612511989,3032.961701056713,1208.84692359392,-4241.808624650705,-89106.40876625438,54301.84211287643,34804.56665337786,-88758.82738471772,54394.08287695114,34364.7445077665,-347.5813815366564,-92.2407640747042,439.8221456113679
0.0097,10.31531650294719,-13.24184187138434,2.926525368437128,2932.617423588005,1340.178464701819,-4272.795888290042,-89416.02342201152,52027.92062749618,37388.10279451525,-89078.26251719793,52134.39544732213,36943.86706987569,-337.7609048135928,-106.4748198259476,444.2357246395622
0.0098,10.60344002206056,-13.10131201920344,2.49787199714284,2829.379006770233,1470.187411477085,-4299.566418247319,-89637.39525797848,49702.65386586363,39934.74139211477,-89309.78815912375,49823.25766364954,39486.53049547412,-327.607098854729,-120.603797785916,448.2108966406449
0.0099,10.88109922604182,-12.94785275379666,2.066753527754798,2723.34833443408,1598.745460794309,-4322.093795228098,-89770.3058068797,47328.33658553958,42441.96922134003,-89453.17582264129,47462.95033989964,41990.22548274159,-317.1299842384033,-134.6137543600635,451.7437385984376
