"time","busBar1.v[1]","busBar1.v[2]","busBar1.v[3]","busBar2.v[1]","busBar2.v[2]","busBar2.v[3]","RXLoad1.i_l[1]","RXLoad1.i_l[2]","RXLoad1.i_l[3]","der(RXLoad1.i_l[1])","der(RXLoad1.i_l[2])","der(RXLoad1.i_l[3])","RXLoad1.i[3]","RXLoad1.i[2]","RXLoad1.i[1]","slack.i[1]","slack.i[2]","slack.i[3]","der(slack.i[1])","der(slack.i[2])","der(slack.i[3])"
0.0191,86248.41621458795,-64824.62343411206,-21423.79278047582,86063.27524060877,-64509.92795909124,-21553.34728152248,-3.074466238827558,-7.702378004218415,10.77684424304607,3351.765536030241,-2512.362592064725,-839.402943965709,8.104941687485432,-15.69947651154377,7.594534824057825,-7.594534824057825,15.69947651154377,-8.104941687485432,-4316.480475935083,91.64425479009086,4224.836220490972
0.0192,86992.93233462656,-62839.99978625976,-24152.93254836672,86799.82999735758,-62526.46993556902,-24273.36006178321,-2.737827241560725,-7.949771752465908,10.68759899402673,3380.450928750513,-2435.116098402727,-945.3348303475784,7.678504771491619,-15.70098703373479,8.02248226224393,-8.02248226224393,15.70098703373479,-7.678504771491619,-4238.903197638503,-63.59647829254038,4302.499676615911
0.0193,87651.59693323492,-60793.3606453835,-26858.23628785135,87450.72054705633,-60481.30381019033,-26969.41673685258,-2.398486186696439,-8.189319900446536,10.58780608714307,3405.800097790489,-2355.466360284623,-1050.333737505343,7.244489962739859,-15.687002190966,8.442512228227896,-8.442512228227896,15.687002190966,-7.244489962739859,-4157.565752787304,-218.5105724943733,4376.07632702044
0.0194,88223.75998797575,-58686.72579722154,-29537.03419075411,88015.30459509125,-58376.4489697083,-29638.85562536626,-2.05677813878961,-8.420786234469084,10.47756437325878,3427.788028752974,-2273.492023461508,-1154.296005290816,6.803326072593546,-15.65753610674697,8.854210034155583,-8.854210034155583,15.65753610674697,-6.803326072593546,-4072.541609678872,-373.0829020959202,4445.624513933496
0.0195,88708.85684299203,-56522.17423603208,-32186.68260695987,88493.02574466933,-56213.98228149124,-32279.04346316234,-1.713040278102907,-8.643942200390313,10.35698247849332,3446.39305256263,-2189.273972287929,-1257.119080274088,6.355448164878155,-15.61261768983137,9.257169524955271,-9.257169524955271,15.61261768983137,-6.355448164878155,-3983.813117938415,-527.1124162243468,4510.925536202172
0.0196,89106.40876625438,-54301.84211287643,-34804.56665337786,88883.41441033952,-53996.03840199179,-34887.37600833788,-1.367611842111638,-8.858567555081612,10.22617939719335,3461.596881043385,-2102.895341735327,-1358.701539307674,5.901298073845679,-15.55229132392357,9.65099325007921,-9.65099325007921,15.55229132392357,-5.901298073845679,-3891.224811909803,-680.5203239193579,4571.745137100181
0.0197,89416.02342201152,-52027.92062749623,-37388.10279451521,89186.08851030294,-51724.80832709623,-37461.28018321206,-1.020833850923563,-9.064450707335963,10.08528455825962,3473.384633880703,-2014.441460934863,-1458.943172946048,5.441324204968875,-15.47661702887682,10.03529282390738,-10.03529282390738,15.47661702887682,-5.441324204968875,-3794.453933194134,-833.4359941120074,4627.889926599094
0.0198,89637.39525797848,-49702.65386586367,-39934.74139211472,89400.74825220031,-49402.53267301383,-39998.21557920891,-0.6730484530367719,-9.261388299631536,9.934436752668407,3481.744635552185,-1923.999591499214,-1557.745044053845,4.975980275906974,-15.38566920950928,10.40968893359963,-10.40968893359963,15.38566920950928,-4.975980275906974,-3693.737572218538,-985.6021710521376,4679.339740340338
0.0199,89770.3058068797,-47328.33658553956,-42441.96922134005,89527.18256938033,-47031.50355910618,-42495.67901030567,-0.3245988097668696,-9.449185895066375,9.773784704833343,3486.66866599038,-1831.659000850043,-1655.009665141565,4.505725323390492,-15.27953757594731,10.773812252553,-10.773812252553,15.27953757594731,-4.505725323390492,-3589.073899564667,-1136.909288883447,4725.983184334151
0.02,89814.62390204988,-44907.3119510249,-44907.31195102489,89565.27244232621,-44614.0642261956,-44951.20821615512,0.02417116020565317,-9.62765837653718,9.603487216331628,3488.152089936946,-1737.510947352883,-1750.641142585017,4.031023387882648,-15.15832749548705,11.12730410760146,-11.12730410760146,15.15832749548705,-4.031023387882648,-3479.817241973132,-1287.64082665107,4767.458065424001
0.0201,89770.30580687968,-42441.96922133993,-47328.33658553968,89514.97422494141,-42152.59727750859,-47362.37694744081,0.3729172691457915,-9.796629474861941,9.423712205716253,3486.193207578788,-1641.648222356406,-1844.544985222693,3.55234316264508,-15.02215806298284,11.46981490033687,-11.46981490033687,15.02215806298284,-3.55234316264508,-3366.863531738307,-1437.241956160713,4804.105486850154
0.0202,89637.39525797848,-39934.74139211481,-49702.65386586358,89376.3307530742,-39649.52853933339,-49726.80221373051,0.7212953442523838,-9.955932372062435,9.234637027810152,3480.793687173586,-1544.165300547131,-1936.628386626054,3.070157414537777,-14.8711631827236,11.8010057681872,-11.8010057681872,14.8711631827236,-3.070157414537777,-3251.209512156522,-1585.129632069927,4836.339145556172
0.0203,89416.02342201151,-37388.10279451515,-52027.92062749628,89149.47741237585,-37107.32806982723,-52042.14934251698,1.068961560028225,-10.10541009675589,9.036448536727766,3471.958801364741,-1445.158379237796,-2026.800422125713,2.584942419886821,-14.70549208888324,12.12054966900043,-12.12054966900043,14.70549208888324,-2.584942419886821,-3133.156601777173,-1731.136606772463,4864.293212658469
0.0204,89106.40876625438,-34804.5666533778,-54301.84211287648,88834.63935598079,-34528.50486963655,-54306.13448629541,1.41557283885025,-10.24491501340164,8.829342174551487,3459.697318822908,-1344.725172370531,-2114.972146450474,2.097176742366107,-14.52530817905906,12.4281314366991,-12.4281314366991,14.52530817905906,-2.097176742366107,-3012.655140424664,-1875.138743421003,4887.793890189162
0.0205,88708.85684299204,-32186.68260695997,-56522.174236032,88432.12999699211,-31915.60462733142,-56516.52536960988,1.760787144788339,-10.37430939126871,8.613522246480468,3444.021445535304,-1242.964822711993,-2201.056622821333,1.607341415537096,-14.33078930374781,12.72344788821711,-12.72344788821711,14.33078930374781,-1.607341415537096,-2889.471825014567,-2017.085065492547,4906.556897110526
0.0206,88223.75998797573,-29537.03419075405,-58686.7257972216,87942.34706588559,-29271.20601534185,-58671.14105052184,2.104263783277319,-10.49346585052353,8.389202067246313,3424.946671259876,-1139.977757597247,-2284.968913661775,1.115920118834516,-14.12212775325186,13.00620763442016,-13.00620763442016,14.12212775325186,-1.115920118834516,-2763.662874233747,-2156.843514929034,4920.506392004665
0.0207,87651.59693323493,-26858.23628785137,-60793.36064538347,87365.77573474952,-26597.91998494129,-60767.85574983056,2.445663785473045,-10.60226654973588,8.156602764262932,3402.491891199947,-1035.865661472653,-2366.626229728164,0.6233975060194754,-13.89952935778645,13.2761318517643,-13.2761318517643,13.89952935778645,-0.6233975060194754,-2635.116178932262,-2294.438080313156,4929.554256328323
