"time","capacitor.v1","capacitor.v2","capacitor.i","inductor.i"
0.0352,-2.461322100131592,0.5478186943712791,3.089227295424736,2.541408601053457
0.0353,-2.176314091744914,0.5224698434604393,3.117397224930066,2.594927381469626
0.0354,-1.889158261169559,0.4966053580535594,3.142490596812608,2.645885238759048
0.0355,-1.600138077951361,0.4702507876659112,3.164482728353657,2.694231940687746
0.0356,-1.309538787760935,0.4434321454667254,3.183351933618185,2.739919788151459
0.0357,-1.017647089195052,0.4161758800306643,3.199079503160478,2.782903623129814
0.0358,-0.7247511176172028,0.3885089010687031,3.211649989265768,2.823141088197064
0.0359,-0.4311399253520525,0.3604585133727927,3.221050985744343,2.86059247237155
0.036,-0.1371032105414551,0.3320523963649862,3.227273154290925,2.895220757925939
0.0361,0.1570687845957349,0.3033185806493646,3.230310417857173,2.926991837207809
0.0362,0.4510857648647176,0.2742854270880377,3.230159761982071,2.955874334894033
0.0363,0.7446576050095572,0.2449815928492192,3.226821301338272,2.981839708489053
0.0364,1.037494533297112,0.2154359808877793,3.22029838235362,3.004862401465841
0.0365,1.329307585095181,0.1856777650658707,3.210597412300275,3.024919647234404
0.0366,1.619808786125404,0.155736315812943,3.197727954891751,3.041991639078808
0.0367,1.908711407844626,0.1256411529954482,3.181702749659102,3.056061596663654
0.0368,2.195730376204003,0.09542201518168447,3.162537573585976,3.067115558404292
0.0369,2.480582429133948,0.06510871228033244,3.140251349387341,3.075142637107009
0.037,2.7629864263661,0.03473112113204557,3.114866096558628,3.080134975426582
0.0371,3.042663708106797,0.004319293804874391,3.086406828422977,3.082087534618102
0.0372,3.319338246495132,-0.0260968011839755,3.054901650991772,3.080998452175747
0.0373,3.592736987000324,-0.05648718111822371,3.020381666236215,3.076868847354439
0.0374,3.862590140580111,-0.08682176497151728,2.982880918706767,3.069702683678285
0.0375,4.128631382541362,-0.1170706785314848,2.942436429324117,3.059507107855601
0.0376,4.390598159761668,-0.1472040968164832,2.899088114452449,3.046292211268932
0.0377,4.648231948600366,-0.1771921868274164,2.852878747704242,3.030070934531659
0.0378,4.901278494549293,-0.2070054298130044,2.80385393320861,3.010859363021614
0.0379,5.149488071590168,-0.236614417509347,2.752062052166734,2.988676469676081
0.038,5.392615719952928,-0.2659898377304857,2.697554223796543,2.963544061527029
0.0381,5.63042151260143,-0.2951027885081237,2.640384230144194,2.935487018652318
0.0382,5.862670761835854,-0.3239245308760141,2.580608493184302,2.904533024060316
0.0383,6.089134251738503,-0.3524265437338623,2.518286018300946,2.870712562034809
0.0384,6.309588512301078,-0.3805807969833359,2.453478288137562,2.834059085120898
0.0385,6.523815970413271,-0.4083594662257477,2.38624927147041,2.794608737696158
0.0386,6.731605196377781,-0.4357350868608276,2.316665328282416,2.752400415143244
0.0387,6.932751160028919,-0.4626807471872363,2.2447950968109,2.707475843998136
0.0388,7.127055325643708,-0.48916977319465,2.170709533238805,2.659879306433455
0.0389,7.31432593656903,-0.5151760149801921,2.094481752973231,2.609657767953423
0.039,7.494378220853206,-0.5406739149768547,2.016186942098328,2.556860857075183
0.0391,7.667034432342255,-0.5656381739205458,1.935902424427179,2.501540598347725
0.0392,7.832124202123335,-0.5900442052272834,1.853707409162983,2.443751614390266
0.0393,7.989484653261854,-0.6138680263986074,1.769682966125623,2.38355099252423
0.0394,8.138960397812262,-0.6370859296507909,1.68391210947463,2.320998039125421
0.0395,8.280403979399264,-0.6596751227129758,1.596479426552115,2.256154549265091
0.0396,8.413675845406711,-0.6816133814490164,1.507471167738068,2.189084549187084
0.0397,8.538644373902716,-0.7028788652722211,1.416975272128086,2.119854137400307
0.0398,8.655186305841001,-0.7234507189679982,1.325080978441715,2.048531697409713
0.0399,8.763186654280247,-0.7433086871718535,1.231878949377069,1.975187636548923
0.04,8.862538737521948,-0.7624329982889759,1.137461262478052,1.899894260767028
0.0401,8.953144587524434,-0.7808049177674188,1.04192101613288,1.822725933900299
0.0402,9.034914797207779,-0.7984063317648527,0.9453524870749366,1.743758818839789
0.0403,9.107768579590651,-0.8152197222849324,0.8478510664401497,1.663070788725082
0.0404,9.171634126230213,-0.8312286396428912,0.7495128869145624,1.580741526557454
0.0405,9.226448395997162,-0.8464172647658563,0.6504350099542151,1.496852274720071
0.0406,9.272157222935689,-0.8607704988618201,0.5507152843511935,1.411485783213014
0.0407,9.308715593959015,-0.8742743204847969,0.4504520254284596,1.324726345913257
0.0408,9.336087384941937,-0.8869153378964703,0.3497442263443702,1.23665956424084
0.0409,9.354245542626057,-0.8986810164070991,0.24869131414337,1.147372330550469
0.041,9.363172246527617,-0.9095598841271539,0.1473929164239163,1.05695280055107
0.0411,9.362858600725236,-0.9195410875797541,0.04594908881701443,0.9654901763967685
0.0412,9.353304917262008,-0.9286147787781447,-0.05554005837949738,0.8730747203986473
0.0413,9.334520723456558,-0.9367721336545722,-0.1569744666167505,0.7797976670378217
0.0414,9.306524420285177,-0.9440049255581023,-0.2582538956249909,0.6857510299331114
