"time","resistor.i","resistor.v","inductor.i","inductor.v","voltageSource.i","voltageSource.v"
0.0347,-1.04311249745408,-5.215562487270398,-1.04311249745408,4.274479354085256,1.04311249745408,-0.9410831331851421
0.0348,-1.021228812168265,-5.106144060841325,-1.021228812168265,4.478238865548191,1.021228812168265,-0.6279051952931345
0.0349,-0.9983372377616835,-4.991686188808417,-0.9983372377616835,4.677578598027132,0.9983372377616835,-0.3141075907812854
0.035,-0.9744604542233055,-4.872302271116528,-0.9744604542233055,4.872302271116541,0.9744604542233055,1.347744615562418e-14
0.0351,-0.9496220861906826,-4.748110430953413,-0.9496220861906826,5.06221802173469,0.9496220861906826,0.3141075907812769
0.0352,-0.9238465194755761,-4.619232597377881,-0.9238465194755761,5.247137792671024,0.9238465194755761,0.6279051952931436
0.0353,-0.8971591522113993,-4.485795761056997,-0.8971591522113993,5.42687889424213,0.8971591522113993,0.9410831331851335
0.0354,-0.8695864161615955,-4.347932080807977,-0.8695864161615955,5.601264416451026,0.8695864161615955,1.253332335643049
0.0355,-0.8411555761036302,-4.205777880518151,-0.8411555761036302,5.770122530920447,0.8411555761036302,1.564344650402296
0.0356,-0.8118946060832469,-4.059473030416235,-0.8118946060832469,5.933286176273484,0.8118946060832469,1.873813145857249
0.0357,-0.7818323065613778,-3.909161532806889,-0.7818323065613778,6.090593946772316,0.7818323065613778,2.181432413965426
0.0358,-0.7509984463925906,-3.754992231962953,-0.7509984463925906,6.241891103611501,0.7509984463925906,2.486898871648547
0.0359,-0.7194235044375236,-3.597117522187618,-0.7194235044375236,6.387028582579908,0.7194235044375236,2.78991106039229
0.036,-0.6871385920006737,-3.435692960003369,-0.6871385920006737,6.525862903752839,0.6871385920006737,3.09016994374947
0.0361,-0.6541754633986629,-3.270877316993315,-0.6541754633986629,6.658256519446223,0.6541754633986629,3.387379202452908
0.0362,-0.6205667539828464,-3.102833769914232,-0.6205667539828464,6.784079296761021,0.6205667539828464,3.681245526846789
0.0363,-0.5863456743610008,-2.931728371805004,-0.5863456743610008,6.903207278152801,0.5863456743610008,3.971478906347797
0.0364,-0.5515459761476746,-2.757729880738373,-0.5515459761476746,7.015522796389106,0.5515459761476746,4.257792915650732
0.0365,-0.516201877669443,-2.581009388347215,-0.516201877669443,7.120914385742671,0.516201877669443,4.539904997395456
0.0366,-0.4803483589608711,-2.401741794804356,-0.4803483589608711,7.219278535821511,0.4803483589608711,4.817536741017155
0.0367,-0.4440208365358534,-2.220104182679267,-0.4440208365358534,7.310518340182996,0.4440208365358534,5.090414157503728
0.0368,-0.4072551617710167,-2.036275808855083,-0.4072551617710167,7.394543758645049,0.4072551617710167,5.358267949789965
0.0369,-0.3700874931743335,-1.850437465871667,-0.3700874931743335,7.471271244392986,0.3700874931743335,5.620833778521318
0.037,-0.3325545974349191,-1.662772987174596,-0.3325545974349191,7.540625510099324,0.3325545974349191,5.877852522924728
0.0371,-0.2946935396127225,-1.473467698063613,-0.2946935396127225,7.602538234593387,0.2946935396127225,6.129070536529774
0.0372,-0.25654169704828,-1.2827084852414,-0.25654169704828,7.656948382728292,0.25654169704828,6.374239897486891
0.0373,-0.2181366086129857,-1.090683043064929,-0.2181366086129857,7.703801696301453,0.2181366086129857,6.613118653236524
0.0374,-0.1795162468222982,-0.897581234111491,-0.1795162468222982,7.743052293398383,0.1795162468222982,6.845471059286892
0.0375,-0.14071874321829,-0.7035937160914498,-0.14071874321829,7.774661527956928,0.14071874321829,7.071067811865478
0.0376,-0.1017824052185323,-0.5089120260926615,-0.1017824052185323,7.798598300306779,0.1017824052185323,7.289686274214117
0.0377,-0.06274556472023715,-0.3137278236011858,-0.06274556472023715,7.814838519905781,0.06274556472023715,7.501110696304596
0.0378,-0.02364680195681664,-0.1182340097840832,-0.02364680195681664,7.823366437541974,0.02364680195681664,7.705132427757891
0.0379,0.01547528545081932,0.07737642725409663,0.01547528545081932,7.824173696502816,-0.01547528545081932,7.901550123756913
0.038,0.05458207049581151,0.2729103524790575,0.05458207049581151,7.817259591270413,-0.05458207049581151,8.090169943749471
0.0381,0.09363502621164799,0.4681751310582399,0.09363502621164799,7.802630611687384,-0.09363502621164799,8.270805742745624
0.0382,0.1325955750751637,0.6629778753758186,0.1325955750751637,7.780301379644327,-0.1325955750751637,8.443279255020146
0.0383,0.1714252623617127,0.8571263118085636,0.1714252623617127,7.750293958230875,-0.1714252623617127,8.607420270039439
0.0384,0.210085759703426,1.05042879851713,0.210085759703426,7.7126380019215,-0.210085759703426,8.763066800438629
0.0385,0.2485389459137322,1.242694729568661,0.2485389459137322,7.66737051231502,-0.2485389459137322,8.910065241883681
0.0386,0.2867468646266658,1.433734323133329,0.2867468646266658,7.614536201526867,-0.2867468646266658,9.048270524660197
0.0387,0.3246718123253377,1.623359061626688,0.3246718123253377,7.554187195213123,-0.3246718123253377,9.177546256839811
