time,v1,v2,v3,i1,i2,i3
0.041744,19112,-11658,-7454.1,9954.1,-6071.8,-3882.3
0.041917,19230,-10624,-8606.1,10016,-5533.4,-4482.3
0.04209,19265,-9544.6,-9720.8,10034,-4971.2,-5062.9
0.042263,19217,-8423.7,-10794,10009,-4387.3,-5621.7
0.042436,19086,-7266.3,-11820,9940.6,-3784.5,-6156
0.04261,18872,-6077.4,-12795,9829.1,-3165.3,-6663.8
0.042783,18576,-4862.3,-13714,9675.2,-2532.4,-7142.7
0.042956,18200,-3626,-14574,9479.3,-1888.5,-7590.8
0.043129,17745,-2374,-15371,9242.4,-1236.5,-8005.9
0.043303,17214,-1111.8,-16102,8965.5,-579.05,-8386.5
0.043476,16608,155.31,-16763,8649.9,80.891,-8730.8
0.043649,15930,1421.8,-17351,8296.7,740.5,-9037.2
0.043822,15183,2682.1,-17865,7907.7,1396.9,-9304.6
0.043995,14370,3930.8,-18301,7484.4,2047.3,-9531.7
0.044169,13495,5162.5,-18658,7028.8,2688.8,-9717.6
0.044342,12562,6372,-18934,6542.7,3318.7,-9861.4
0.044515,11574,7553.8,-19128,6028.3,3934.3,-9962.6
0.044688,10536,8703.1,-19240,5487.8,4532.8,-10021
0.044861,9453.1,9814.6,-19268,4923.5,5111.8,-10035
0.045035,8328.8,10884,-19212,4337.9,5668.6,-10007
0.045208,7168.4,11906,-19074,3733.5,6200.9,-9934.4
0.045381,5976.9,12876,-18853,3113,6706.4,-9819.4
0.045554,4759.6,13791,-18551,2479,7182.9,-9661.8
0.045727,3521.7,14646,-18168,1834.2,7628.3,-9462.5
0.045901,2268.5,15438,-17707,1181.5,8040.7,-9222.2
0.046074,1005.4,16163,-17169,523.67,8418.3,-8941.9
0.046247,-261.98,16818,-16556,-136.45,8759.5,-8623
0.04642,-1528.3,17400,-15872,-795.98,9062.7,-8266.8
0.046594,-2788,17907,-15119,-1452.1,9326.8,-7874.7
0.046767,-4035.7,18337,-14301,-2101.9,9550.5,-7448.6
0.04694,-5265.9,18687,-13421,-2742.7,9732.9,-6990.3
0.047113,-6473.4,18957,-12483,-3371.6,9873.2,-6501.6
0.047286,-7652.9,19144,-11491,-3985.9,9970.8,-5984.9
0.04746,-8799.3,19248,-10449,-4582.9,10025,-5442.2
0.047633,-9907.6,19270,-9361.9,-5160.2,10036,-4876
0.047806,-10973,19207,-8234.2,-5715.1,10004,-4288.7
0.047979,-11991,19062,-7070.9,-6245.4,9928.1,-3682.8
0.048152,-12957,18834,-5877,-6748.6,9809.5,-3060.9
0.048326,-13867,18525,-4657.6,-7222.6,9648.4,-2425.8
0.048499,-14717,18135,-3418,-7665.4,9445.5,-1780.2
0.048672,-15504,17668,-2163.6,-8075,9201.8,-1126.9
0.048845,-16223,17123,-899.8,-8449.6,8918.3,-468.64
0.049018,-16872,16505,367.9,-8787.8,8596.1,191.62
0.049192,-17449,15815,1634,-9087.9,8236.8,851.06
0.049365,-17949,15056,2893.1,-9348.6,7841.8,1506.8
0.049538,-18372,14233,4139.7,-9569,7412.9,2156.1
0.049711,-18716,13348,5368.4,-9747.9,6951.9,2796
0.049885,-18979,12405,6573.9,-9884.7,6460.8,3423.9
0.050058,-19159,11408,7751,-9978.7,5941.7,4037
0.050231,-19257,10362,8894.5,-10029,5396.9,4632.6
0.050404,-19271,9271.3,9999.6,-10037,4828.8,5208.1
0.050577,-19202,8140.3,11061,-10001,4239.7,5761.2
0.050751,-19050,6974.1,12076,-9921.6,3632.3,6289.3
0.050924,-18815,5777.6,13037,-9799.4,3009.2,6790.3
0.051097,-18499,4556.2,13943,-9634.8,2373,7261.8
0.05127,-18103,3315,14788,-9428.5,1726.6,7702
0.051443,-17628,2059.5,15569,-9181.4,1072.7,8108.8
0.051617,-17078,795.01,16283,-8894.6,414.07,8480.5
0.05179,-16453,-472.93,16926,-8569.3,-246.32,8815.6
0.051963,-15757,-1738.8,17496,-8206.9,-905.65,9112.6
0.052136,-14993,-2997.3,17991,-7809,-1561.1,9370.1
0.052309,-14164,-4242.7,18407,-7377.3,-2209.8,9587.1
0.052483,-13274,-5469.9,18744,-6913.7,-2848.9,9762.6
0.052656,-12327,-6673.4,19000,-6420.1,-3475.7,9895.8
0.052829,-11326,-7848,19174,-5898.8,-4087.5,9986.3
0.053002,-10276,-8988.8,19264,-5351.9,-4681.6,10034
0.053176,-9181.2,-10091,19272,-4781.9,-5255.5,10037
0.053349,-8047,-11149,19196,-4191.1,-5806.7,9997.8
0.053522,-6877.9,-12159,19037,-3582.3,-6332.7,9915
0.053695,-5679.1,-13116,18795,-2957.9,-6831.4,9789.3
0.053868,-4455.7,-14017,18473,-2320.7,-7300.5,9621.2
0.054042,-3213,-14857,18070,-1673.4,-7738,9411.5
0.054215,-1956.4,-15633,17589,-1018.9,-8142.1,9161
0.054388,-691.22,-16341,17032,-360.01,-8511,8871
0.054561,576.92,-16979,16402,300.48,-8843,8542.5
0.054734,1842.6,-17543,15700,959.68,-9136.8,8177.1
0.054908,3100.3,-18031,14931,1614.7,-9391.1,7776.3
0.055081,4344.6,-18441,14096,2262.8,-9604.7,7341.9
0.055254,5570.2,-18771,13201,2901.1,-9776.8,6875.7
0.055427,6771.7,-19021,12249,3526.9,-9906.6,6379.7
0.0556,7943.9,-19188,11244,4137.5,-9993.6,5856.1
0.055774,9081.8,-19272,10190,4730.1,-10037,5307.2
0.055947,10180,-19272,9091.8,5302.3,-10038,4735.3
0.05612,11235,-19189,7954.5,5851.6,-9994.5,4143
0.056293,12241,-19024,6782.7,6375.5,-9908.2,3532.6
0.056467,13194,-18776,5581.5,6871.9,-9779,2907
0.05664,14090,-18446,4356.2,7338.6,-9607.4,2268.8
0.056813,14925,-18037,3112,7773.5,-9394.4,1620.8
0.056986,15696,-17550,1854.3,8174.9,-9140.7,965.78
0.057159,16398,-16987,588.58,8540.8,-8847.4,306.55
0.057333,17030,-16350,-679.72,8869.9,-8515.9,-354.02
0.057506,17588,-15643,-1945.1,9160.5,-8147.5,-1013.1
0.057679,18070,-14868,-3202.1,9411.6,-7743.8,-1667.8
0.057852,18474,-14029,-4445.3,9622,-7306.7,-2315.2
0.058025,18798,-13129,-5669.2,9790.7,-6838,-2952.7
0.058199,19041,-12172,-6868.7,9917.1,-6339.6,-3577.4
0.058372,19201,-11163,-8038.5,10001,-5813.9,-4186.7
0.058545,19278,-10105,-9173.5,10041,-5262.9,-4777.9
0.058718,19272,-9003.4,-10269,10038,-4689.3,-5348.4
0.058891,19183,-7862.9,-11320,9991,-4095.3,-5895.8
0.059065,19010,-6688.4,-12322,9901.2,-3483.5,-6417.6
0.059238,18756,-5485,-13271,9768.6,-2856.8,-6911.8
0.059411,18420,-4257.8,-14162,9593.7,-2217.6,-7376.1
0.059584,18004,-3012.2,-14992,9377.3,-1568.8,-7808.4
0.059758,17511,-1753.5,-15757,9120.3,-913.27,-8207
0.059931,16942,-487.2,-16455,8823.9,-253.75,-8570.1
0.060104,16299,781.22,-17081,8489.3,406.88,-8896.2
0.060277,15587,2046.3,-17633,8118,1065.8,-9183.8
0.06045,14806,3302.5,-18109,7711.6,1720.1,-9431.7
0.060624,13962,4544.5,-18506,7271.8,2366.9,-9638.7
0.060797,13057,5766.8,-18824,6800.6,3003.6,-9804.1
0.06097,12096,6964.3,-19060,6299.9,3627.2,-9927.1
0.061143,11082,8131.6,-19214,5772,4235.2,-10007
0.061316,10021,9263.8,-19285,5219.1,4824.9,-10044
0.06149,8915.8,10356,-19272,4643.7,5393.7,-10037
0.061663,7772.4,11403,-19176,4048.1,5939.2,-9987.3
0.061836,6595.3,12401,-18997,3435,6459,-9894.1
0.062009,5389.6,13346,-18735,2807.1,6951,-9758
0.062182,4160.6,14233,-18393,2167,7412.8,-9579.8
0.062356,2913.6,15058,-17971,1517.5,7842.6,-9360.2
0.062529,1654,15818,-17472,861.47,8238.5,-9100
0.062702,387.22,16510,-16897,201.68,8598.8,-8800.5
0.062875,-881.27,17130,-16249,-458.99,8921.9,-8462.9
0.063048,-2146,17676,-15530,-1117.7,9206.5,-8088.8
0.063222,-3401.4,18146,-14745,-1771.6,9451.2,-7679.6
0.063395,-4642.2,18538,-13896,-2417.8,9655,-7237.2
0.063568,-5862.9,18849,-12986,-3053.6,9817.2,-6763.6
0.063741,-7058.3,19079,-12020,-3676.2,9936.8,-6260.6
0.063915,-8223.2,19226,-11003,-4282.9,10014,-5730.6
0.064088,-9352.5,19290,-9937.6,-4871.1,10047,-5175.8
0.064261,-10441,19271,-8829.4,-5438.2,10037,-4598.6
0.064434,-11485,19168,-7683,-5981.9,9983.4,-4001.6
0.064607,-12479,18983,-6503.3,-6499.7,9886.8,-3387.2
0.064781,-13420,18715,-5295.5,-6989.4,9747.5,-2758.1
0.064954,-14302,18367,-4064.8,-7448.9,9566,-2117.1
