time,v2_0
4.013850e+00,-5780.390114
4.013900e+00,-5539.455158
4.013950e+00,-5297.153424
4.014000e+00,-5053.544696
4.014050e+00,-4808.689083
4.014100e+00,-4562.646997
4.014150e+00,-4315.479147
4.014200e+00,-4067.246517
4.014250e+00,-3818.010354
4.014300e+00,-3567.832155
4.014350e+00,-3316.773647
4.014400e+00,-3064.896775
4.014450e+00,-2812.263686
4.014500e+00,-2558.936712
4.014550e+00,-2304.978360
4.014600e+00,-2050.451288
4.014650e+00,-1795.418299
4.014700e+00,-1539.942317
4.014750e+00,-1284.086378
4.014800e+00,-1027.913610
4.014850e+00,-771.487219
4.014900e+00,-514.870476
4.014950e+00,-258.126696
4.015000e+00,-1.319228
4.015050e+00,255.488566
4.015100e+00,512.233321
4.015150e+00,768.851691
4.015200e+00,1025.280357
4.015250e+00,1281.456051
4.015300e+00,1537.315565
4.015350e+00,1792.795769
4.015400e+00,2047.833627
4.015450e+00,2302.366213
4.015500e+00,2556.330724
4.015550e+00,2809.664499
4.015600e+00,3062.305031
4.015650e+00,3314.189985
4.015700e+00,3565.257211
4.015750e+00,3815.444764
4.015800e+00,4064.690913
4.015850e+00,4312.934160
4.015900e+00,4560.113255
4.015950e+00,4806.167209
4.016000e+00,5051.035314
4.016050e+00,5294.657152
4.016100e+00,5536.972611
4.016150e+00,5777.921906
4.016200e+00,6017.445584
4.016250e+00,6255.484548
4.016300e+00,6491.980064
4.016350e+00,6726.873782
4.016400e+00,6960.107743
4.016450e+00,7191.624402
4.016500e+00,7421.366635
4.016550e+00,7649.277757
4.016600e+00,7875.301534
4.016650e+00,8099.382198
4.016700e+00,8321.464460
4.016750e+00,8541.493525
4.016800e+00,8759.415105
4.016850e+00,8975.175430
4.016900e+00,9188.721264
4.016950e+00,9399.999919
4.017000e+00,9608.959264
4.017050e+00,9815.547742
4.017100e+00,10019.714380
4.017150e+00,10221.408804
4.017200e+00,10420.581248
4.017250e+00,10617.182569
4.017300e+00,10811.164259
4.017350e+00,11002.478456
4.017400e+00,11191.077956
4.017450e+00,11376.916225
4.017500e+00,11559.947410
4.017550e+00,11740.126350
4.017600e+00,11917.408590
4.017650e+00,12091.750388
4.017700e+00,12263.108727
4.017750e+00,12431.441327
4.017800e+00,12596.706655
4.017850e+00,12758.863934
4.017900e+00,12917.873154
4.017950e+00,13073.695082
4.018000e+00,13226.291271
4.018050e+00,13375.624071
4.018100e+00,13521.656635
4.018150e+00,13664.352933
4.018200e+00,13803.677756
4.018250e+00,13939.596728
4.018300e+00,14072.076313
4.018350e+00,14201.083824
4.018400e+00,14326.587430
4.018450e+00,14448.556164
4.018500e+00,14566.959933
4.018550e+00,14681.769523
4.018600e+00,14792.956606
4.018650e+00,14900.493748
4.018700e+00,15004.354415
4.018750e+00,15104.512983
4.018800e+00,15200.944739
4.018850e+00,15293.625888
4.018900e+00,15382.533564
4.018950e+00,15467.645830
4.019000e+00,15548.941686
4.019050e+00,15626.401073
4.019100e+00,15700.004879
4.019150e+00,15769.734944
4.019200e+00,15835.574062
4.019250e+00,15897.505990
4.019300e+00,15955.515445
4.019350e+00,16009.588116
4.019400e+00,16059.710661
4.019450e+00,16105.870712
4.019500e+00,16148.056881
4.019550e+00,16186.258758
4.019600e+00,16220.466918
4.019650e+00,16250.672920
4.019700e+00,16276.869312
4.019750e+00,16299.049630
4.019800e+00,16317.208401
4.019850e+00,16331.341145
4.019900e+00,16341.444375
4.019950e+00,16347.515598
4.020000e+00,16349.553316
4.020050e+00,16347.557027
4.020100e+00,16341.527222
4.020150e+00,16331.465390
4.020200e+00,16317.374014
4.020250e+00,16299.256569
4.020300e+00,16277.117527
4.020350e+00,16250.962349
4.020400e+00,16220.797490
4.020450e+00,16186.630391
4.020500e+00,16148.469484
4.020550e+00,16106.324183
4.020600e+00,16060.204888
4.020650e+00,16010.122978
4.020700e+00,15956.090809
4.020750e+00,15898.121714
4.020800e+00,15836.229995
4.020850e+00,15770.430923
4.020900e+00,15700.740734
4.020950e+00,15627.176621
4.021000e+00,15549.756737
4.021050e+00,15468.500183
4.021100e+00,15383.427007
4.021150e+00,15294.558202
4.021200e+00,15201.915693
4.021250e+00,15105.522339
4.021300e+00,15005.401923
4.021350e+00,14901.579149
4.021400e+00,14794.079633
4.021450e+00,14682.929899
4.021500e+00,14568.157373
4.021550e+00,14449.790371
4.021600e+00,14327.858100
4.021650e+00,14202.390644
4.021700e+00,14073.418961
4.021750e+00,13940.974873
4.021800e+00,13805.091057
4.021850e+00,13665.801042
4.021900e+00,13523.139195
4.021950e+00,13377.140716
4.022000e+00,13227.841628
4.022050e+00,13075.278768
4.022100e+00,12919.489778
4.022150e+00,12760.513098
4.022200e+00,12598.387952
4.022250e+00,12433.154342
4.022300e+00,12264.853038
4.022350e+00,12093.525565
4.022400e+00,11919.214195
4.022450e+00,11741.961938
4.022500e+00,11561.812527
4.022550e+00,11378.810412
4.022600e+00,11193.000746
4.022650e+00,11004.429375
4.022700e+00,10813.142826
4.022750e+00,10619.188295
4.022800e+00,10422.613639
4.022850e+00,10223.467358
4.022900e+00,10021.798591
4.022950e+00,9817.657094
4.023000e+00,9611.093238
4.023050e+00,9402.157988
4.023100e+00,9190.902897
4.023150e+00,8977.380088
4.023200e+00,8761.642244
4.023250e+00,8543.742597
4.023300e+00,8323.734910
4.023350e+00,8101.673465
4.023400e+00,7877.613054
4.023450e+00,7651.608959
4.023500e+00,7423.716945
4.023550e+00,7193.993240
4.023600e+00,6962.494525
4.023650e+00,6729.277918
